PG;ANNO PG;POSIZIONE;PUNTEGGIO;DISAGIO_ABITATIVO_P;PROGETTO_P;ALLOGGIO_IMPROPRIO_P;INIDONEITA_IMMOBILE_P;ANTIGIENICITA_P;SFRATTO_P;SISTEMAZIONE_PRECARIA_P;BASSO_ISEE_P;INCIDENZA_P;DISTANZA_P;GIOVANE_COPPIA_P;ADULTO_CON_FIGLIO_P;NUCLEO_MONOFAMILIARE_P;NUCLEO_PLURICOMPONENTE_P;CONDIZIONE_ANZIANA_P;CONDIZIONI_CERTIFICATE_P;CONDIZIONE_COABITAZIONE_P;AIRE_P;PROFUGHI_ITALIANI_P;ANZIANITA_DOMANDA_P
88429;2007;4249;16,00;;;;;;;;;8,00;;;;3,00;;;;2,00;;;3,00
71238;2007;4250;16,00;7,00;3,00;;;;;;;;;;;3,00;;;;;;;3,00
83607;2007;4251;16,00;;;;;;;;;6,00;;;7,00;;;;;;;;3,00
43850;2007;4252;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
67235;2007;4253;16,00;;;;;;;;;;;;;;;8,00;5,00;;;;3,00
68294;2007;4254;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
84076;2007;4255;16,00;;;;;;;;;3,00;2,00;;;3,00;;;5,00;;;;3,00
42898;2007;4256;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
86479;2007;4257;16,00;;;;;;;;;;;;;;;6,00;7,00;;;;3,00
59612;2007;4258;16,00;;;;;;;;;8,00;;;;3,00;;;;2,00;;;3,00
52017;2007;4259;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
47111;2007;4260;16,00;;;;;;;;;;;6,00;;;;;7,00;;;;3,00
29031;2007;4261;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
58256;2007;4262;16,00;;;;;;;;;8,00;;;;3,00;;;;2,00;;;3,00
54760;2007;4263;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
46662;2007;4264;16,00;;;;;;;;;3,00;;;;;;5,00;5,00;;;;3,00
51581;2007;4265;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
59773;2007;4266;16,00;;;;;;;;;8,00;;;;3,00;;;;2,00;;;3,00
71668;2007;4267;16,00;;;;;;;;;8,00;;;;3,00;;;;2,00;;;3,00
69227;2007;4268;16,00;;;;;;;;;6,00;;;7,00;;;;;;;;3,00
81778;2007;4269;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
