Quartiere;Servizio;Struttura;Tipo struttura;Istituzione scol;Indirizzo;Comune;Provincia
NAVILE;SCUOLA DELL'INFANZIA;SUCC. SCUOLA DELL'INFANZIA STATALE DOZZA IL FLAUTO MAGICO;Statale;ISTITUTO COMPRENSIVO N. 15;VIA LOMBARDI n.42;BOLOGNA;BOLOGNA
NAVILE;SCUOLA DELL'INFANZIA;T.BOLZANI;Comunale;QUARTIERE NAVILE;VIA FLORA n.3;BOLOGNA;BOLOGNA
NAVILE;SCUOLA PRIMARIA;ACRI;Statale;ISTITUTO COMPRENSIVO N. 5;VIA BARBIERI n.5;BOLOGNA;BOLOGNA
NAVILE;SCUOLA PRIMARIA;BOTTEGO;Statale;ISTITUTO COMPRENSIVO N. 3;VIA BEVERARA n.158;BOLOGNA;BOLOGNA
NAVILE;SCUOLA PRIMARIA;CASA CIRCONDARIALE DOZZA;Statale;ISTITUTO COMPRENSIVO N. 10;VIA DEL GOMITO n.4;BOLOGNA;BOLOGNA
NAVILE;SCUOLA PRIMARIA;CASARALTA;Statale;ISTITUTO COMPRENSIVO N. 15;VIA LOMBARDI n.40;BOLOGNA;BOLOGNA
NAVILE;SCUOLA PRIMARIA;CROCE COPERTA;Statale;ISTITUTO COMPRENSIVO N. 15;VIA MARZIALE n.12;BOLOGNA;BOLOGNA
NAVILE;SCUOLA PRIMARIA;DOZZA;Statale;ISTITUTO COMPRENSIVO N. 15;VIA DOZZA n.8;BOLOGNA;BOLOGNA
NAVILE;SCUOLA PRIMARIA;FEDERZONI;Statale;ISTITUTO COMPRENSIVO N. 5;VIA DI VINCENZO n.11;BOLOGNA;BOLOGNA
NAVILE;SCUOLA PRIMARIA;L. MARSILI;Statale;ISTITUTO COMPRENSIVO N. 4;VIA SANT'ANNA n.4;BOLOGNA;BOLOGNA
NAVILE;SCUOLA PRIMARIA;MARIA AUSILIATRICE;Privata paritaria;MARIA AUSILIATRICE;VIA JACOPO DELLA QUERCIA n.5;BOLOGNA;BOLOGNA
NAVILE;SCUOLA PRIMARIA;NUOVA GROSSO;Statale;ISTITUTO COMPRENSIVO N. 5;VIA C.DA BOLOGNA n.29;BOLOGNA;BOLOGNA
NAVILE;SCUOLA PRIMARIA;SILVANI;Statale;ISTITUTO COMPRENSIVO N. 3;VIA SELVA DI PESCAROLA n.29;BOLOGNA;BOLOGNA
NAVILE;SCUOLA PRIMARIA;SUCCURSALE CASARALTA;Statale;ISTITUTO COMPRENSIVO N. 15;VIA SALICETO n.72;BOLOGNA;BOLOGNA
