CODVIA;DENOMINAZIONE
17350;VICOLO COLOMBINA
17400;VIA CRISTOFORO COLOMBO
17450;VIA ANGELO MICHELE COLONNA
17470;PIAZZA DEI COLORI
17500;VIA DE' COLTELLI
17550;VIA DE' COLTELLINI
17600;VIA COMMENDA
17630;VIA DEL COMMERCIO ASSOCIATO
17650;VIA LUIGI CONCATO
17680;VIA DEL CONCIATORE
17700;VIA DELLA CONCORDIA
17710;ROTONDA CONSIGLIO D'EUROPA
17730;VIA DELLA COOPERAZIONE
17750;VIA NICOLO' COPERNICO
17780;VIA FAUSTO COPPI
17790;VIA ARCANGELO CORELLI
17800;VIA DE' CORIGHI
17810;VIA NATALINO CORAZZA
17820;VIA CAROLINA CORONEDI BERTI
17830;VIA ALFONSO CORRADI
17850;VIA CESARE CORRENTI
17900;VIA CORSICA
17930;VIA GIOVAN BATTISTA CORTESI
17950;VIA DI CORTICELLA
17980;VIA ALESSANDRO CORTICELLI
18000;VIA ANDREA COSTA
18050;VIA LORENZO COSTA
18100;VIA PAOLO COSTA
18150;PIAZZA DELLA COSTITUZIONE
18180;VIA CRACOVIA
18200;VIA TRANQUILLO CREMONA
18250;VIA GIUSEPPE CRESPI
18300;VIA DONATO CRETI
18350;VIALE RINO CRISTIANI
18400;VIA CRISTOFORO DA BOLOGNA
18420;VIA CROARA
18430;ROTONDA BENEDETTO CROCE
18450;VIA GIULIO CESARE CROCE
18500;VIA S.CROCE
18550;VIA DELLA CROCE COPERTA
18600;VIA DELLA CROCETTA
18650;VIA CROCIALI
18700;VIA CROCIONE
18720;ROTONDA MARIA ADELE CROCIONI MICHELINI
18730;VIA GIOVANNI CROCIONI
18750;VIA FILIPPO E ANGELO CUCCOLI
18780;VIA CUNEO
18800;VIA EUGENIO CURIEL
18820;VIA GIROLAMO CURTI
18830;VIA ANDREA DA FORMIGINE
18850;VIA GIUSEPPE DAGNINI
18900;VIA DALLA VOLTA
18950;VIA DAL LINO
19000;VIA ALBERTO DALLOLIO
19020;VIA BARTOLOMEO MARIA DAL MONTE
19030;VIA MARINO DALMONTE
19040;VIA GIOVANNI GIOSEFFO DAL SOLE
19050;VICOLO DELLE DAME
19100;VICOLO S.DAMIANO
19150;VIA FRATELLI DANDOLO
19180;VIA GABRIELE D'ANNUNZIO
19200;VIA DANTE
19210;VIA EGNAZIO DANTI
19240;VIA CARLO DARWIN
19250;VIA PIER LUIGI DA PALESTRINA
19260;VIA CARDINALE G. DE ALBORNOZ
19270;VIA ALCESTE DE AMBRIS
19280;VIA CRISTINA DA PIZZANO
19300;VIA EDMONDO DE AMICIS
19310;ROTONDA DECORATI AL VALOR MILITARE
19320;GIARD.DECORATO VALORE CIVILE
19330;VIA ADOLFO DE CAROLIS
19340;VIA DEL DECORATORE
19350;VIA PIETRO DE COUBERTIN
19400;VIA PIER DE' CRESCENZI
19450;VIA DECUMANA
19470;ROTONDA CHARLES DE GAULLE
19480;VIALE ALCIDE DE GASPERI
19500;VIA FRANCESCA E.DE GIOVANNI
19550;VIA DE LA BIRRA
19600;VIA FRANCESCO DEL COSSA
19630;VIA GRAZIA DELEDDA
19640;VIALE FRANCESCO DELITALA
19650;VIA MONDINO DE LIUZZI
19700;VIA LUCA DELLA ROBBIA
19750;VIA ANDREA DEL VERROCCHIO
19800;VIA DE MARCHI
19850;VIA MARIO DE MARIA
19880;VIA ENRICO DE NICOLA
19900;VIA G.BATTISTA DE ROLANDIS
19950;VIA FERNANDO DE ROSA
20000;VIA FILIPPO DE PISIS
20050;VIA ERCOLE DE' ROBERTI
20060;VIA FRANCESCO DE SANCTIS
20070;VIA CARLO DICKENS
20080;VIA QUIRINO DI MARZIO
20100;VIA DELLA DIRETTISSIMA
20120;VIA DI SESTO
20150;VIA GIUSEPPE DI VAGNO
20200;VIA GIUSEPPE DI VITTORIO
20250;VIALE DODICI GIUGNO
20300;VIA POMPEO SCIPIONE DOLFI
20350;PIAZZA S.DOMENICO
20400;VIA S.DOMENICO
20430;VIA DOMODOSSOLA
20440;VIA DOMOKOS
20450;VIA DONATELLO
20460;ROTONDA ALEARDO DONATI
20470;VIA GIUSEPPE DONATI
20500;VIA S.DONATO
20550;PIAZZA DI PORTA S.DONATO
20570;VIA SAN DONNINO
20600;VIA GAETANO DONIZETTI
20650;VIA DELLE DONZELLE
20680;VIA PAOLO DORE
20690;VIA GIUSEPPE DOSSETTI
20700;VIA DOSSO DOSSI
20750;VIA CARLO FRANCESCO DOTTI
20800;VIA DELLA DOZZA
20830;VIA GIUSEPPE DOZZA
20850;VIA DRAPPERIE
