;;;;;;;;
Popolazione residente immigrata per sezione e luogo di immigrazione -  Maschi;;;;;;;;(a)
al 31 Dicembre 2010;;;;;;;;
Sezioni 2001 (b);1. Comuni della provincia Bologna;2. Altre province Emilia-Romagna;3. Italia nord occidentale;4. Italia nord orientale;5. Italia centrale;6. Italia meridionale e insulare;7. Stati esteri;Totale
0383;41;6;2;3;4;6;1;63
0384;40;11;4;2;9;6;8;80
0385;6;2;;;;;;8
0386;8;;1;;1;2;;12
0387;7;2;2;;1;3;4;19
0388;3;;;;;;;3
0389;1;;;;;1;;2
0390;9;1;;1;;5;1;17
0391;5;;1;;1;2;;9
0392;18;3;4;2;1;5;23;56
0393;;;;;;;;
0394;21;1;1;1;3;8;16;51
0395;25;5;2;4;2;9;6;53
0396;22;3;2;1;2;11;52;93
0397;32;8;3;2;1;17;17;80
0398;89;17;7;3;4;20;13;153
0399;78;13;5;5;6;20;25;152
0400;51;10;3;2;1;15;22;104
0401;15;1;1;;;6;1;24
0402;39;4;1;3;3;13;9;72
0403;37;6;3;2;3;3;2;56
0404;99;19;6;5;14;20;17;180
0405;75;17;4;4;5;21;17;143
0406;16;1;1;;1;3;7;29
0407;66;11;4;3;3;13;7;107
0408;;;;;;;;
0409;42;5;4;2;2;3;4;62
0410;18;2;1;1;1;10;7;40
0411;28;3;2;;3;5;1;42
0412;51;12;3;1;3;11;19;100
0413;78;21;3;3;2;19;16;142
0414;7;3;;2;1;5;6;24
0415;69;15;1;3;6;24;17;135
0416;22;11;2;3;;5;7;50
0417;71;14;6;2;7;16;24;140
0418;;;;;;;;
0419;13;4;;1;2;8;7;35
0420;1;;;;;;;1
0421;6;3;;2;2;9;1;23
0422;4;;;;;;2;6
0423;7;1;1;;;;;9
0424;1;;;;;;;1
0425;26;14;2;;3;14;17;76
0426;4;1;2;;;1;1;9
0427;;;;;;;;
0428;21;1;1;2;1;14;7;47
0429;2;;;;2;1;;5
0430;13;17;10;5;8;33;7;93
