Sezioni 2001 (b);1. Comuni della provincia Bologna;2. Altre province Emilia-Romagna;3. Italia nord occidentale;4. Italia nord orientale;5. Italia centrale;6. Italia meridionale e insulare;7. Stati esteri;Totale
2018;324;102;27;21;36;163;56;729
2019;2;2;1;3;1;15;;24
2020;104;35;14;14;26;91;65;349
2021;38;8;3;2;8;18;60;137
2022;57;20;1;5;6;24;26;139
2023;17;6;;3;;11;3;40
2024;9;;;;;7;3;19
2025;124;38;14;14;26;103;62;381
2026;21;1;6;2;1;7;4;42
2027;71;18;5;7;11;49;34;195
2028;133;23;13;16;19;62;51;317
2029;;;;;;;;
2030;117;29;7;9;13;38;21;234
2031;117;28;13;9;11;51;54;283
2032;16;5;3;2;2;9;4;41
2033;145;37;12;9;17;55;47;322
2034;74;41;8;9;12;24;11;179
2035;91;27;8;16;11;23;15;191
2036;21;7;1;2;3;13;17;64
2037;106;29;13;20;11;29;17;225
2038;108;48;16;7;12;29;6;226
2039;81;20;13;10;14;25;13;176
2040;196;47;15;12;11;62;34;377
2041;69;18;6;4;8;17;23;145
2042;;;;;;;;
2043;64;6;4;3;3;16;13;109
2044;53;6;;1;;7;2;69
2045;22;10;3;1;3;9;2;50
2046;;;;;;;;
2047;171;20;1;3;6;36;31;268
2048;35;10;3;6;6;18;21;99
2049;28;9;4;1;3;8;4;57
2050;98;10;2;4;7;28;26;175
2051;8;33;7;8;3;;2;61
2052;;;;;;;;
2053;5;1;;;;;1;7
2054;84;19;11;6;11;30;42;203
2055;25;5;2;2;4;17;10;65
2056;48;8;4;1;3;13;11;88
2057;39;5;;2;2;18;8;74
2058;38;14;6;3;13;32;18;124
2059;64;13;6;3;8;49;56;199
2060;14;3;2;4;;9;9;41
2061;7;3;3;1;2;6;5;27
2062;27;4;2;1;4;11;8;57
2063;105;20;9;9;7;51;33;234
2064;82;22;3;5;11;29;24;176
2065;39;12;3;2;4;11;13;84
2066;56;14;2;2;1;27;28;130
2067;62;11;4;2;5;34;32;150
2068;102;28;4;12;6;43;49;244
2069;66;22;3;5;6;45;38;185
2070;172;36;10;9;14;86;74;401
2071;98;27;9;8;5;23;20;190
2072;;;;;;;;
2073;51;11;6;2;8;22;30;130
2074;40;9;1;2;4;12;8;76
2075;31;4;1;1;4;15;12;68
2076;;;;;;;;
2077;18;1;;2;1;10;12;44
